Project,Area,Zone,Type,Bed,Bath,Size (sqft),Tenure,Price (RM),Installment (RM/mo),Rental Unfurnished,CF Unfurnished,Rental Partial,CF Partial,Rental Fully,CF Fully,Yield% Partial,Yield% Fully,CF Rating (Best Case),Cash Out (RM),Break-even Unfurnished (Year),Break-even Partial (Year),Break-even Fully (Year),5yr ROI%,10yr ROI%,20yr ROI%,Ann.Ret% 5yr,Ann.Ret% 10yr,Ann.Ret% 20yr,Exit Value 10yr (RM),Equity 10yr (RM),Equity Gain 10yr (RM),Cumulative CF Unfurnished 10yr (RM),Cumulative CF Partial 10yr (RM),Cumulative CF Fully 10yr (RM),Selling Cost 10yr (RM),Equity Gain 10yr Net of Selling Cost (RM),Rental Source,Date Added,Code,Source Link
Taman Sri Sinar,Kuala Lumpur,Segambut,2.5 Storey Terrace,3,2.0,1200,Freehold,430000,1961,1400,-561,1600,-361,1700,-261,4.47,4.74,🟠 Mild -ve,70900,8,6,6,122.8,318.4,840.0,24.6,31.8,42.0,606557,296631,225731,-67320,-43320,-31320,23259,202472,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",18/3/2026,EXP,https://telegram.me/extremeproperty_listing/15720
Trifolia Apartment,Klang,Taman Saga,Apartment,3,2.0,904,Freehold,355000,1619,1050,-569,1200,-419,1450,-169,4.06,4.9,🟠 Mild -ve,61150,26,18,11,64.7,189.3,507.3,12.9,18.9,25.4,432743,176879,115729,-68280,-50280,-20280,17454,98275,[Partial] Fuzzy - 2 listing(s) | Aronia Apartment | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,12/7/2026,MMN,https://telegram.me/HaniMNListingSubsale/156
LBS Skylake Residence,Puchong,Taman Putra Perdana,Service Residence,2,2.0,883,Leasehold,390000,1778,1200,-578,1400,-378,1700,-78,4.31,5.23,🟠 Mild -ve,65700,24,15,9,68.3,195.6,520.6,13.7,19.6,26.0,475408,194224,128524,-69360,-45360,-9360,18879,109645,[Partial] Exact - 1 listing(s) | LBS Skylake Residence | [Fully] Exact - 1 listing(s) | LBS Skylake Residence | [Unfurnished] Est. from Partial | CORRECTED (audit 19/07/2026): Fully 1300.0->1700 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted),6/6/2026,MMN,https://telegram.me/HaniMNListingSubsale/540
Iris Garden,Bandar Saujana Putra,Saujana Putra,1 Storey Terrace,4,2.0,1000,Leasehold,380000,1733,1150,-583,1300,-433,1400,-333,4.11,4.42,🟠 Mild -ve,64400,8,7,7,116.7,307.1,814.5,23.3,30.7,40.7,536028,262142,197742,-69960,-51960,-39960,20903,176839,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",19/3/2026,MMN,https://telegram.me/HaniMNListingSubsale/385
Tiara Imperio,Bangi,Bangi,Serviced Residence,2,1.0,700,Leasehold,360000,1642,1050,-592,1200,-442,1500,-142,4,5,🟠 Mild -ve,61800,27,19,11,65.3,190.3,509.5,13.1,19.0,25.5,438838,179400,117600,-71040,-53040,-17040,17657,99943,[Partial] Exact - 1 listing(s) | Tiara Imperio | [Fully] Exact - 1 listing(s) | Tiara Imperio | [Unfurnished] Est. from Partial,12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/950
The Edge Residence,Subang Jaya,USJ 1,Service Residence,2,2.0,647,Leasehold,350000,1596,1000,-596,1150,-446,2150,554,3.94,7.37,🟢 Strong,60500,29,20,5,64.1,188.2,505.1,12.8,18.8,25.3,426648,174357,113857,-71520,-53520,66480,17250,96607,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=3) | Subang Jaya",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14454
Sri Alam Condominium,Shah Alam,Seksyen 13,Penthouse,6,6.0,2959,Leasehold,899000,4100,3500,-600,3900,-200,4700,600,5.21,6.27,🟢 Strong,135860,11,9,6,87.7,229.7,592.2,17.5,23.0,29.6,1095876,447934,312074,-72000,-24000,72000,39602,272472,[Fully] Fuzzy - 1 listing(s) | Sri Alam Condo | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,11/5/2025,DPM,https://telegram.me/DeePropmall/1480
Amansiara Townhouse,Selayang,Selayang,Townhouse,3,2.0,1245,Leasehold,450000,2052,1450,-602,1650,-402,1750,-302,4.4,4.67,🟠 Mild -ve,73500,20,14,12,73.7,205.0,540.3,14.7,20.5,27.0,548547,224174,150674,-72240,-48240,-36240,21321,129353,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12763
Almyra Residence,Kajang,Bandar Puteri Bangi,Condominium,4,3.0,1207,Freehold,420000,1915,1300,-615,1400,-515,1700,-215,4,4.86,🟠 Mild -ve,69600,23,19,11,71.1,200.6,531.0,14.2,20.1,26.6,511978,209199,139599,-73800,-61800,-25800,20100,119499,[Fully] Fuzzy - 2 listing(s) | Palmyra Residences | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,20/4/2026,EXP,https://telegram.me/extremeproperty_listing/16653
1 Storey Terrace Taman Bunga Raya,Kuala Lumpur,"Setapak, Taman Bunga Raya",1 Storey Terrace,3,2.0,1400,Freehold,490000,2234,1600,-634,1850,-384,1950,-284,4.53,4.78,🟠 Mild -ve,78700,7,6,6,128.6,329.4,864.7,25.7,32.9,43.2,691193,337926,259226,-76080,-46080,-34080,26086,233140,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",22/4/2025,EXP,https://telegram.me/extremeproperty_listing/16925
Green Acre Park Condominium,Kajang,Bandar Baru Sungai Long,Condominium,3,2.0,1020,Leasehold,490000,2234,1250,-984,1450,-784,1700,-534,3.55,4.16,🟠 Mild -ve,78700,,26,16,76.6,210.1,551.0,15.3,21.0,27.5,597307,244040,165340,-118080,-94080,-64080,22950,142390,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1600.0->1250 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13834
Double Storey Terrace Taman Dato Harun,Petaling Jaya / Damansara,Taman Dato Harun,Terrace,4,2.0,840,Leasehold,350000,1596,950,-646,1100,-496,1200,-396,3.77,4.11,🟠 Mild -ve,60500,10,8,7,112.5,299.0,796.5,22.5,29.9,39.8,493710,241419,180919,-77520,-59520,-47520,19490,161429,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14333
Plaza Grand Regency,Cheras,PGRM,Studio,1,1.0,566,Leasehold,350000,1596,950,-646,1150,-446,1500,-96,3.94,5.14,🟠 Mild -ve,60500,,20,10,64.1,188.2,505.1,12.8,18.8,25.3,426648,174357,113857,-77520,-53520,-11520,17250,96607,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10050
Angkasa Condominium,Cheras,Taman Connaught,Condominium,3,2.0,950,Freehold,430000,1961,1300,-661,1400,-561,1700,-261,3.91,4.74,🟠 Mild -ve,70900,24,20,12,72.0,202.2,534.4,14.4,20.2,26.7,524168,214241,143341,-79320,-67320,-31320,20507,122834,[Fully] Exact - 1 listing(s) | Angkasa Condominium | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,4/6/2026,EXP,https://telegram.me/extremeproperty_listing/18078
Sri Putramas 1,Kuala Lumpur,Jalan Kuching,Condominium,3,2.0,1050,Freehold,430000,1961,1300,-661,1400,-561,1700,-261,3.91,4.74,🟠 Mild -ve,70900,24,20,12,72.0,202.2,534.4,14.4,20.2,26.7,524168,214241,143341,-79320,-67320,-31320,20507,122834,[Fully] Exact - 1 listing(s) | Sri Putramas 1 | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,28/6/2026,EXP,https://telegram.me/extremeproperty_listing/19241
Double Storey Corner Lot Seksyen 6,Kajang,Bandar Rinching Seksyen 6,2 Storey Terrace,4,4.0,2000,Freehold,620000,2827,1550,-1277,1800,-1027,2800,-27,3.48,5.42,🟠 Mild -ve,96800,10,8,5,135.2,341.8,892.5,27.0,34.2,44.6,874571,427626,330826,-153240,-123240,-3240,32211,298615,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 2150.0->1550 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11707
Taman Setia Impian 2 Storey Terrace,Klang,Bandar Bukit Raja,2 Storey Terrace,4,3.0,1865,Freehold,620000,2827,2150,-677,2350,-477,2650,-177,4.55,5.13,🟠 Mild -ve,96800,7,6,5,135.2,341.8,892.5,27.0,34.2,44.6,874571,427626,330826,-81240,-57240,-21240,32211,298615,"[Unfurnished] Area PSF Avg, Landed >=1500sqft (RM1.15/sqft, n=3) | Klang | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14910
Parkhill Residence,Bukit Jalil,Bukit Jalil,Condominium,4,2.0,1300,Leasehold,599000,2732,1750,-982,2000,-732,3100,368,4.01,6.21,🟢 Strong,93860,26,18,6,81.1,218.0,567.7,16.2,21.8,28.4,730178,298485,204625,-117840,-87840,44160,27388,177237,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.56/sqft, n=3) | Bukit Jalil | [Fully] Area PSF Avg, Strata all sizes (RM2.38/sqft, n=3) | Bukit Jalil | CORRECTED (audit 19/07/2026): Unfurnished 2050.0->1750 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10770
Cerrado @ Southville City,Sepang,Dengkil Southville City,Service Residence,2,1.0,656,Freehold,370000,1687,1000,-687,1150,-537,1450,-237,3.73,4.7,🟠 Mild -ve,63100,,23,12,66.3,192.1,513.1,13.3,19.2,25.7,451028,184290,121190,-82440,-64440,-28440,18064,103126,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM2.21/sqft, n=7) | Sepang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14647
Laman Tasik Condominium,Cheras,Bandar Sri Permaisuri,Condominium,4,3.0,1281,Leasehold,480000,2189,1500,-689,1650,-539,2000,-189,4.13,5,🟠 Mild -ve,77400,22,17,10,75.9,209.0,548.7,15.2,20.9,27.4,585117,239149,161749,-82680,-64680,-22680,22543,139206,[Fully] Fuzzy - 1 listing(s) | Vista Tasik Condominium | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,12/7/2026,EXP,https://telegram.me/extremeproperty_listing/8154
Platinum Splendor Residensi Semarak,Kuala Lumpur,Kampung Padang Tembak Semarak,Condominium,4,2.0,1184,Leasehold,590000,2690,2000,-690,2300,-390,2750,60,4.68,5.59,🟡 Neutral,92600,17,12,7,80.7,217.3,566.2,16.1,21.7,28.3,719207,293856,201256,-82800,-46800,7200,27022,174234,[Partial] Exact - 2 listing(s) | Platinum Splendor Residensi Semarak | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14715
Suria Residence @ Bukit Jelutong,Shah Alam,Bukit Jelutong,Serviced Apartment,1,1.0,600,Freehold,395000,1801,900,-901,1050,-751,1600,-201,3.19,4.86,🟠 Mild -ve,66350,,,11,68.8,196.5,522.5,13.8,19.7,26.1,481503,196745,130395,-108120,-90120,-24120,19082,111313,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 1100.0->900 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,HRK,https://telegram.me/ListingRumahHurakanShahAlam/171
Taman Indah KLIA,Sepang,Taman Indah KLIA,2 Storey Terrace,4,3.0,2060,Leasehold,450000,2052,1350,-702,2600,548,3200,1148,6.93,8.53,🟢 Strong,73500,8,4,3,124.8,322.3,848.8,25.0,32.2,42.4,634769,310396,236896,-84240,65760,137760,24201,212695,"[Unfurnished] Area PSF Avg, Landed >=1500sqft (RM0.67/sqft, n=3) | Sepang | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Area PSF Avg, Landed >=1500sqft (RM1.55/sqft, n=3) | Sepang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11520
Casa Bluebell Townhouse,Cyberjaya / Putrajaya,Dengkil,Townhouse,3,2.0,1160,Leasehold,455000,2075,1350,-725,1550,-525,1650,-425,4.09,4.35,🟠 Mild -ve,74150,26,17,15,74.1,205.7,541.9,14.8,20.6,27.1,554642,226695,152545,-87000,-63000,-51000,21525,131020,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",12/7/2026,ZYP,https://telegram.me/zikriyussofperundinghartanah/1109
Double Storey Davina Nilai Impian,Nilai,Nilai Impian,Terrace,4,3.0,1650,Freehold,545000,2485,1750,-735,2050,-435,2350,-135,4.51,5.17,🟠 Mild -ve,86300,7,6,5,131.9,335.6,878.6,26.4,33.6,43.9,768776,375894,289594,-88200,-52200,-16200,28677,260917,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/414
Ashino @ Gravit8,Klang,"Kota Bayuemas, Klang South",Condominium,3,2.0,1239,Freehold,590000,2690,1450,-1240,1650,-1040,3150,460,3.36,6.41,🟢 Strong,92600,,29,6,80.7,217.3,566.2,16.1,21.7,28.3,719207,293856,201256,-148800,-124800,55200,27022,174234,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.34/sqft, n=6) | Klang | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1950.0->1450 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",13/5/2026,EXP,https://telegram.me/extremeproperty_listing/17437
M Centura,Kuala Lumpur,Sentul,Service Residence,4,2.0,1001,Freehold,470000,2143,1400,-743,1600,-543,1900,-243,4.09,4.85,🟠 Mild -ve,76100,25,17,11,75.2,207.6,545.8,15.0,20.8,27.3,572927,234107,158007,-89160,-65160,-29160,22136,135871,[Fully] Exact - 1 listing(s) | M Centura | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18367
2 Storey Terrace Taman Tiara East,Kajang,Taman Tiara East,2 Storey Terrace,5,3.0,1680,Freehold,562000,2563,1300,-1263,1500,-1063,2350,-213,3.2,5.02,🟠 Mild -ve,88680,11,9,5,132.8,337.2,882.2,26.6,33.7,44.1,792757,387692,299012,-151560,-127560,-25560,29478,269534,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1800.0->1300 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",17/4/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1116
Astana Lumayan,Cheras,Bandar Sri Permaisuri,Condominium,4,2.0,1207,Leasehold,530000,2417,1650,-767,1850,-567,2200,-217,4.19,4.98,🟠 Mild -ve,84200,22,16,10,78.6,213.6,558.4,15.7,21.4,27.9,646067,264057,179857,-92040,-68040,-26040,24579,155278,[Fully] Fuzzy - 1 listing(s) | Suasana Lumayan | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16659
M Centura Residence,Sentul,Sentul,Condominium,4,2.0,1001,Freehold,509000,2321,1550,-771,1900,-421,2300,-21,4.48,5.42,🟠 Mild -ve,81260,24,13,8,77.7,212.0,555.1,15.5,21.2,27.8,620468,253559,172299,-92520,-50520,-2520,23724,148575,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Zone PSF Avg, Strata all sizes (RM1.88/sqft, n=7) | Sentul | [Fully] Zone PSF Avg, Strata all sizes (RM2.32/sqft, n=13) | Sentul",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/7689
LakeFront Residence,Cyberjaya / Putrajaya,Cyber 11,Condominium,3,2.0,950,Freehold,500000,2280,1500,-780,1700,-580,1950,-330,4.08,4.68,🟠 Mild -ve,80000,25,17,12,77.3,211.4,553.7,15.5,21.1,27.7,609497,249082,169082,-93600,-69600,-39600,23357,145725,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Zone PSF Avg, Strata all sizes (RM2.03/sqft, n=4) | Cyber 11",13/4/2026,MMN,https://telegram.me/HaniMNListingSubsale/405
1 Storey Townhouse Platinum Residence Dengkil,Sepang,Dengkil,Townhouse,3,2.0,1421,Leasehold,380000,1733,950,-783,1850,117,2200,467,5.84,6.95,🟢 Strong,64400,,7,5,67.4,194.0,517.3,13.5,19.4,25.9,463218,189333,124933,-93960,14040,56040,18471,106462,"[Unfurnished] Area PSF Avg, Landed all sizes (RM0.67/sqft, n=3) | Sepang | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Area PSF Avg, Landed all sizes (RM1.55/sqft, n=3) | Sepang",10/4/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1015
2 Storey Terrace Irama Perdana,Puncak Alam,LBS Alam Perdana,2 Storey Terrace,4,4.0,1209,Leasehold,480000,2189,1400,-789,1650,-539,1700,-489,4.13,4.25,🟠 Mild -ve,77400,9,7,7,127.8,327.8,861.2,25.6,32.8,43.1,677087,331119,253719,-94680,-64680,-58680,25615,228104,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Area PSF Avg, Landed all sizes (RM1.36/sqft, n=4) | Puncak Alam | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16781
Pantai Panorama,Kuala Lumpur,Kampung Kerinchi (Bangsar South),Condominium,3,2.0,1248,Freehold,680000,3101,2300,-801,2500,-601,3750,649,4.41,6.62,🟢 Strong,105200,17,13,5,83.4,222.0,576.1,16.7,22.2,28.8,828916,338782,233582,-96120,-72120,77880,30686,202896,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18289
Arte Cheras,Cheras,Taman Midah,Condominium,2,2.0,868,Leasehold,508000,2317,1500,-817,1800,-517,2300,-17,4.25,5.43,🟠 Mild -ve,81120,26,15,8,77.7,212.1,555.2,15.5,21.2,27.8,619249,253146,172026,-98040,-62040,-2040,23683,148343,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16753
Desa Baiduri Murni,Sepang,Salak Tinggi,Single Storey Terrace,3,2.0,1400,Freehold,390000,1778,950,-828,1850,72,2150,372,5.69,6.62,🟢 Strong,65700,11,5,4,118.0,309.4,819.7,23.6,30.9,41.0,550134,268949,203249,-99360,8640,44640,21374,181875,"[Unfurnished] Area PSF Avg, Landed all sizes (RM0.67/sqft, n=3) | Sepang | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Area PSF Avg, Landed all sizes (RM1.55/sqft, n=3) | Sepang",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/470
Neu Suites @ Ampang,Kuala Lumpur,Ampang Hilir,Apartment,2,1.0,430,Leasehold,360000,1642,800,-842,850,-792,1400,-242,2.83,4.67,🟠 Mild -ve,61800,,,13,65.3,190.3,509.5,13.1,19.0,25.5,438838,179400,117600,-101040,-95040,-29040,17657,99943,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM3.21/sqft, n=10) | Ampang Hilir",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14851
Cube @ One South,Seri Kembangan,Taman Serdang Perdana,Service Residence,1,1.0,450,Leasehold,340000,1550,500,-1050,550,-1000,1300,-250,1.94,4.59,🟠 Mild -ve,59200,,,13,62.9,186.0,500.4,12.6,18.6,25.0,414458,169315,110115,-126000,-120000,-30000,16843,93272,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 700.0->500 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",6/4/2026,FRH,https://telegram.me/FirdausRahimHartanahListing/1518
MH Platinum Residency,Setapak,Taman Tai Onn,Condominium,3,2.0,1018,Freehold,540000,2462,1600,-862,2150,-312,2300,-162,4.78,5.11,🟠 Mild -ve,85600,25,11,9,78.9,214.2,559.6,15.8,21.4,28.0,658257,268948,183348,-103440,-37440,-19440,24986,158362,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.11/sqft, n=6) | Setapak | [Fully] Area PSF Avg, Strata all sizes (RM2.24/sqft, n=5) | Setapak",17/6/2026,EXP,https://telegram.me/extremeproperty_listing/18747
Hon Residensi CGCC,Ampang,Taman Nirwana,Condominium,3,3.0,1335,Leasehold,650000,2964,2100,-864,3150,186,4450,1486,5.82,8.22,🟢 Strong,101000,20,7,4,82.5,220.6,573.1,16.5,22.1,28.7,792346,323807,222807,-103680,22320,178320,29464,193343,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18441
Trinity Aquata,Kuala Lumpur,Sungai Besi,Condominium,3,2.0,1154,Freehold,650000,2964,2100,-864,2300,-664,2750,-214,4.25,5.08,🟠 Mild -ve,101000,20,15,9,82.5,220.6,573.1,16.5,22.1,28.7,792346,323807,222807,-103680,-79680,-25680,29464,193343,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM2.38/sqft, n=3) | Sungai Besi",19/5/2026,EXP,https://telegram.me/extremeproperty_listing/17748
2-Storey Superlink Bandar Nusaputra,Puchong,Bandar Nusaputra Precinct 2,Terrace,4,4.0,2400,Leasehold,750000,3420,2550,-870,3000,-420,3400,-20,4.8,5.44,🟠 Mild -ve,115000,7,5,5,139.5,349.8,910.7,27.9,35.0,45.5,1057949,517326,402326,-104400,-50400,-2400,38335,363991,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12855
The Hamilton,Kuala Lumpur,Wangsa Maju,Condominium,3,2.0,1000,Leasehold,600000,2736,1850,-886,2000,-736,2950,214,4,5.9,🟡 Neutral,94000,23,18,7,81.1,218.0,567.6,16.2,21.8,28.4,731397,298898,204898,-106320,-88320,25680,27429,177469,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM2.94/sqft, n=11) | Wangsa Maju",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16156
